Z1	Z2	Z3	Z4	Z5	Z6	Z7	Z8	Z9	Z10	Z11	Z12	Z13	Z14
3	11.06	1.76	2.28	16.8	3.15	0.3	3.34	6.94	1.76	1.52	2.63	2.69	982
1	10.91	1.6	3.45	12.4	3.96	0.46	2.48	6.92	1.24	3.07	2.34	2.65	726
3	10.92	2.92	3.16	17.9	3.78	0.2	2.17	5.5	1.73	2.16	2.35	2.22	925
3	11.52	2.95	3.41	16.6	4.27	0.26	2.34	5.99	1.37	3.81	2.73	2.71	976
1	12.62	2.71	3.34	13.2	3.44	0.4	2.64	5.6	1.63	1.41	2.9	2.24	1497
1	12.16	1.96	2.9	12.0	2.74	0.19	3.23	5.57	1.63	2.02	2.89	2.33	1308
3	11.46	1.65	3.38	16.9	3.93	0.13	3.29	5.07	1.54	1.34	2.78	2.75	983
2	13.06	2.53	2.13	16.2	4.02	0.22	2.01	6.22	1.09	3.77	2.64	2.65	1578
3	10.7	2.16	2.29	16.4	3.62	0.16	2.77	6.01	1.84	3.63	2.08	2.85	1180
3	11.46	1.68	2.07	16.6	4.04	0.47	2.63	5.1	1.32	1.77	2.16	2.66	1152
3	11.83	2.24	2.49	12.4	3.49	0.42	2.33	5.56	1.19	2.98	2.9	2.57	1528
3	12.28	1.55	2.58	14.2	3.55	0.35	2.18	6.82	1.04	3.45	2.61	2.09	1515
1	13.93	2.86	2.41	12.7	3.36	0.45	2.51	5.48	1.59	2.67	2.01	2.37	1358
3	11.0	1.89	3.24	17.2	2.55	0.42	3.41	5.29	1.68	2.59	2.1	2.27	1215
2	12.57	2.49	2.54	15.7	2.72	0.17	2.48	5.98	1.02	1.73	2.66	2.24	1246
1	12.96	1.97	2.42	14.0	2.56	0.46	2.78	6.97	1.51	1.28	2.01	2.97	891
2	10.23	2.28	2.81	12.4	3.77	0.32	3.05	5.48	1.23	3.69	2.16	2.39	748
2	13.04	2.32	2.21	13.9	3.13	0.42	2.55	6.34	1.65	3.7	2.55	2.89	1211
